City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,28.03,74,40,6.17,CK,1707680073
1,blackmans bay,-43.0167,147.3167,14.18,86,100,1.06,AU,1707679868
2,margaret river,-33.95,115.0667,17.8,78,43,7.36,AU,1707680074
3,vila franca do campo,37.7167,-25.4333,18.27,99,51,7.31,PT,1707680074
4,castillos,-34.1667,-53.8333,32.49,47,0,7.75,UY,1707680075
5,hithadhoo,-0.6,73.0833,26.96,79,27,3.46,MV,1707680070
6,lihue,21.9789,-159.3672,23.58,80,75,3.09,US,1707679794
7,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,0.0,CA,1707679811
8,pisco,-13.7,-76.2167,28.03,65,0,9.26,PE,1707680076
9,klyuchi,52.2667,79.1667,-13.33,88,72,6.57,RU,1707680077
10,bubaque,11.2833,-15.8333,26.56,64,0,5.64,GW,1707680077
11,college,64.8569,-147.8028,-5.52,89,100,2.57,US,1707680078
12,cativa,9.3606,-79.8436,32.33,73,77,6.26,PA,1707680078
13,edinburgh of the seven seas,-37.0676,-12.3116,18.05,68,42,7.85,SH,1707680078
14,utrik,11.2278,169.8474,26.05,74,100,10.89,MH,1707680079
15,ribeira grande,38.5167,-28.7,18.22,82,40,8.75,PT,1707680080
16,georgetown,5.4112,100.3354,27.96,76,20,4.12,MY,1707680081
17,hermanus,-34.4187,19.2345,21.0,68,22,4.42,ZA,1707680082
18,saint-joseph,-21.3667,55.6167,26.21,82,41,1.8,RE,1707680082
19,vorgashor,67.5833,63.95,-31.29,100,100,1.89,RU,1707680083
20,albany,42.6001,-73.9662,6.21,68,100,0.89,US,1707680008
21,tanjungagung,-3.9333,103.8,23.01,97,97,1.4,ID,1707680083
22,iquitos,-3.7481,-73.2472,29.02,84,75,2.06,PE,1707680084
23,mangalia,43.8,28.5833,12.57,73,100,9.51,RO,1707680084
24,klaksvik,62.2266,-6.589,4.51,89,94,6.82,FO,1707680085
25,port-aux-francais,-49.35,70.2167,8.78,94,100,14.95,TF,1707680038
26,waitangi,-43.9535,-176.5597,12.12,76,100,1.79,NZ,1707680086
27,mont-dore,-22.2833,166.5833,27.22,99,98,4.6,NC,1707680086
28,kodiak,57.79,-152.4072,-0.27,100,75,0.0,US,1707680035
29,jamestown,42.097,-79.2353,1.8,80,100,2.57,US,1707680029
30,antsiranana,-12.2787,49.2917,25.04,92,100,4.7,MG,1707679949
31,oum hadjer,13.2954,19.6966,28.37,10,0,4.23,TD,1707680059
32,ubari,26.5921,12.7805,20.81,9,48,4.04,LY,1707680089
33,bouake,7.6895,-5.0218,33.06,31,0,2.06,CI,1707680089
34,tiksi,71.6872,128.8694,-34.41,100,100,1.15,RU,1707680090
35,papatowai,-46.5619,169.4708,12.27,75,100,5.12,NZ,1707679892
36,gillette,44.2911,-105.5022,4.46,41,75,5.66,US,1707680091
37,pinhal novo,38.6311,-8.9138,17.89,100,75,5.14,PT,1707680091
38,bethel,41.3712,-73.414,8.65,61,0,3.09,US,1707679906
39,arraial do cabo,-22.9661,-42.0278,30.98,58,0,10.29,BR,1707680092
40,stanley,54.868,-1.6985,5.77,92,40,5.14,GB,1707679851
41,barkot,30.8167,78.2,8.07,39,4,2.34,IN,1707680093
42,igrim,63.1906,64.4162,-30.55,99,13,1.32,RU,1707680093
43,robertson,36.5167,-86.8667,13.91,90,100,3.09,US,1707680094
44,la passe,45.5549,-0.8967,8.32,78,80,3.06,FR,1707680094
45,santa terezinha,-29.9002,-50.0904,31.74,55,56,2.49,BR,1707680095
46,talnakh,69.4865,88.3972,-32.64,85,16,0.95,RU,1707680095
47,minas de marcona,-15.2119,-75.1103,24.01,59,90,6.85,PE,1707679976
48,inhambane,-23.865,35.3833,24.99,88,40,3.09,MZ,1707680096
49,adamstown,-25.066,-130.1015,25.09,89,72,10.93,PN,1707680096
50,olonkinbyen,70.9221,-8.7187,-3.14,62,100,4.56,SJ,1707680096
51,nova sintra,14.8667,-24.7167,20.97,75,0,3.81,CV,1707680097
